id,state,municipality,cost_category,cost_description,amount,date,department,contract_type
1,Mato Grosso,Sinop,educação,Gasto com educação em Sinop,198182.06,2025-11-26,Secretaria de Educação,licitação
2,Mato Grosso,Tangará da Serra,segurança,Gasto com segurança em Tangará da Serra,115003.05,2025-03-27,Guarda Municipal,convênio
3,Mato Grosso,Primavera do Leste,segurança,Gasto com segurança em Primavera do Leste,249492.8,2024-09-11,Polícia Militar,parceria
4,Mato Grosso,Cáceres,infraestrutura,Gasto com infraestrutura em Cáceres,817810.01,2025-03-16,Secretaria de Obras,parceria
5,Mato Grosso,Diamantino,segurança,Gasto com segurança em Diamantino,209141.38,2025-09-20,Guarda Municipal,parceria
6,Mato Grosso,Primavera do Leste,infraestrutura,Gasto com infraestrutura em Primavera do Leste,716990.62,2024-11-19,Departamento de Viação,convênio
7,Mato Grosso,Pontes e Lacerda,educação,Gasto com educação em Pontes e Lacerda,206911.84,2024-05-25,Creche,contrato direto
8,Mato Grosso,Pontes e Lacerda,infraestrutura,Gasto com infraestrutura em Pontes e Lacerda,1290353.26,2024-05-13,Departamento de Viação,licitação
9,Mato Grosso,Campo Verde,segurança,Gasto com segurança em Campo Verde,382006.11,2024-05-12,Guarda Municipal,parceria
10,Mato Grosso,Primavera do Leste,administração,Gasto com administração em Primavera do Leste,59625.24,2024-04-22,Prefeitura,convênio
11,Mato Grosso,Sorriso,administração,Gasto com administração em Sorriso,83623.27,2024-01-24,Secretaria de Administração,licitação
12,Mato Grosso,Rondonópolis,saúde,Gasto com saúde em Rondonópolis,636843.21,2025-08-08,Hospital Municipal,licitação
13,Mato Grosso,Diamantino,administração,Gasto com administração em Diamantino,26022.18,2025-10-06,Secretaria de Administração,parceria
14,Mato Grosso,Nova Mutum,saúde,Gasto com saúde em Nova Mutum,220765.03,2025-01-01,UBS Central,licitação
15,Mato Grosso,Cáceres,saúde,Gasto com saúde em Cáceres,356780.52,2024-10-10,Secretaria de Saúde,convênio
16,Mato Grosso,Primavera do Leste,segurança,Gasto com segurança em Primavera do Leste,150803.46,2025-10-23,Guarda Municipal,convênio
17,Mato Grosso,Nova Mutum,segurança,Gasto com segurança em Nova Mutum,540786.26,2024-12-15,Guarda Municipal,licitação
18,Mato Grosso,Sinop,educação,Gasto com educação em Sinop,365074.86,2024-08-05,Escola Municipal,contrato direto
19,Mato Grosso,Primavera do Leste,administração,Gasto com administração em Primavera do Leste,94256.93,2025-08-23,Prefeitura,licitação
20,Mato Grosso,Barra do Garças,segurança,Gasto com segurança em Barra do Garças,404833.66,2024-05-19,Polícia Militar,licitação
21,Mato Grosso,Cáceres,segurança,Gasto com segurança em Cáceres,105100.73,2024-09-21,Polícia Militar,parceria
22,Mato Grosso,Sinop,educação,Gasto com educação em Sinop,89849.88,2024-01-27,Secretaria de Educação,contrato direto
23,Mato Grosso,Cuiabá,segurança,Gasto com segurança em Cuiabá,119755.81,2025-08-19,Polícia Militar,convênio
24,Mato Grosso,Tangará da Serra,administração,Gasto com administração em Tangará da Serra,63221.73,2024-03-12,Prefeitura,licitação
25,Mato Grosso,Primavera do Leste,educação,Gasto com educação em Primavera do Leste,352018.78,2025-01-27,Secretaria de Educação,parceria
26,Mato Grosso,Várzea Grande,educação,Gasto com educação em Várzea Grande,476628.25,2024-10-12,Creche,contrato direto
27,Mato Grosso,Cuiabá,saúde,Gasto com saúde em Cuiabá,612938.43,2024-05-31,Hospital Municipal,licitação
28,Mato Grosso,Rondonópolis,saúde,Gasto com saúde em Rondonópolis,495368.06,2024-08-06,UBS Central,parceria
29,Mato Grosso,Cáceres,infraestrutura,Gasto com infraestrutura em Cáceres,1214731.58,2024-06-22,Secretaria de Obras,convênio
30,Mato Grosso,Cuiabá,segurança,Gasto com segurança em Cuiabá,23130.25,2025-11-21,Guarda Municipal,parceria
31,Mato Grosso,Várzea Grande,educação,Gasto com educação em Várzea Grande,272871.1,2025-09-05,Escola Municipal,parceria
32,Mato Grosso,Lucas do Rio Verde,segurança,Gasto com segurança em Lucas do Rio Verde,309538.31,2025-11-02,Polícia Militar,parceria
33,Mato Grosso,Lucas do Rio Verde,saúde,Gasto com saúde em Lucas do Rio Verde,501945.63,2024-11-24,Secretaria de Saúde,parceria
34,Mato Grosso,Barra do Garças,infraestrutura,Gasto com infraestrutura em Barra do Garças,883140.56,2026-01-02,Departamento de Viação,parceria
35,Mato Grosso,Lucas do Rio Verde,saúde,Gasto com saúde em Lucas do Rio Verde,188634.68,2024-07-09,UBS Central,licitação
36,Mato Grosso,Lucas do Rio Verde,educação,Gasto com educação em Lucas do Rio Verde,102162.35,2024-06-12,Secretaria de Educação,convênio
37,Mato Grosso,Nova Mutum,educação,Gasto com educação em Nova Mutum,84216.06,2024-05-11,Creche,licitação
38,Mato Grosso,Sorriso,segurança,Gasto com segurança em Sorriso,574120.68,2024-03-12,Guarda Municipal,licitação
39,Mato Grosso,Cáceres,administração,Gasto com administração em Cáceres,25137.33,2025-02-27,Secretaria de Administração,contrato direto
40,Mato Grosso,Rondonópolis,saúde,Gasto com saúde em Rondonópolis,350018.01,2024-09-22,Secretaria de Saúde,licitação
41,Mato Grosso,Diamantino,infraestrutura,Gasto com infraestrutura em Diamantino,53391.36,2024-02-12,Departamento de Viação,contrato direto
42,Mato Grosso,Campo Verde,administração,Gasto com administração em Campo Verde,106048.49,2024-10-18,Prefeitura,parceria
43,Mato Grosso,Primavera do Leste,infraestrutura,Gasto com infraestrutura em Primavera do Leste,363408.87,2025-09-26,Secretaria de Obras,contrato direto
44,Mato Grosso,Cáceres,saúde,Gasto com saúde em Cáceres,747917.54,2025-03-15,Secretaria de Saúde,contrato direto
45,Mato Grosso,Barra do Garças,educação,Gasto com educação em Barra do Garças,467192.49,2025-08-07,Creche,convênio
46,Mato Grosso,Sinop,infraestrutura,Gasto com infraestrutura em Sinop,751297.95,2026-01-03,Secretaria de Obras,parceria
47,Mato Grosso,Campo Verde,saúde,Gasto com saúde em Campo Verde,417709.15,2025-09-13,UBS Central,contrato direto
48,Mato Grosso,Sorriso,educação,Gasto com educação em Sorriso,82309.42,2024-08-17,Escola Municipal,licitação
49,Mato Grosso,Lucas do Rio Verde,educação,Gasto com educação em Lucas do Rio Verde,182338.53,2024-09-04,Creche,parceria
50,Mato Grosso,Nova Mutum,educação,Gasto com educação em Nova Mutum,114945.86,2025-05-02,Secretaria de Educação,contrato direto
51,Mato Grosso,Diamantino,administração,Gasto com administração em Diamantino,165611.61,2025-07-07,Prefeitura,licitação
52,Mato Grosso,Rondonópolis,segurança,Gasto com segurança em Rondonópolis,63885.71,2025-03-11,Guarda Municipal,convênio
53,Mato Grosso,Lucas do Rio Verde,segurança,Gasto com segurança em Lucas do Rio Verde,469296.92,2025-04-22,Polícia Militar,convênio
54,Mato Grosso,Lucas do Rio Verde,administração,Gasto com administração em Lucas do Rio Verde,91998.34,2024-05-06,Secretaria de Administração,contrato direto
55,Mato Grosso,Cuiabá,saúde,Gasto com saúde em Cuiabá,295626.39,2025-09-19,Secretaria de Saúde,contrato direto
