id,state,municipality,cost_category,cost_description,amount,date,department,contract_type
1,Mato Grosso,Barra do Garças,saúde,Equipamentos hospitalares,102254.6,2024-11-10,Posto de Saúde,contrato direto
2,Mato Grosso,Guarantã do Norte,administração,Material de escritório,37986.25,2024-08-07,Contadoria,convênio
3,Mato Grosso,Alta Floresta,infraestrutura,Saneamento básico,395250.5,2024-05-03,Saneamento,licitação
4,Mato Grosso,Primavera do Leste,infraestrutura,Asfalto de vias,981470.74,2024-01-30,Departamento de Viação,contrato direto
5,Mato Grosso,Tangará da Serra,administração,Aluguel de imóveis,22858.52,2025-04-28,Prefeitura,convênio
6,Mato Grosso,Nova Mutum,saúde,Compra de medicamentos,392385.9,2024-03-02,SAMU,convênio
7,Mato Grosso,Pontes e Lacerda,administração,Serviços de limpeza,5021.97,2024-01-14,RH,parceria
8,Mato Grosso,Peixoto de Azevedo,administração,Material de escritório,71614.94,2024-06-17,Prefeitura,convênio
9,Mato Grosso,Juína,segurança,Sistemas de vigilância,43281.05,2024-07-29,Polícia Militar,contrato direto
10,Mato Grosso,Tangará da Serra,administração,Serviços de limpeza,89046.2,2025-02-20,Prefeitura,licitação
11,Mato Grosso,Alta Floresta,educação,Construção de escolas,73308.38,2025-08-06,Universidade Estadual,convênio
12,Mato Grosso,Peixoto de Azevedo,infraestrutura,Iluminação pública,174958.75,2025-01-11,Energia,licitação
13,Mato Grosso,Cáceres,educação,Construção de escolas,122738.16,2024-06-04,Escola Municipal,parceria
14,Mato Grosso,Lucas do Rio Verde,saúde,Contratação de médicos,167403.33,2025-11-09,Posto de Saúde,parceria
15,Mato Grosso,Lucas do Rio Verde,administração,Material de escritório,73237.97,2024-09-17,RH,contrato direto
16,Mato Grosso,Água Boa,educação,Material escolar,4162.11,2025-04-05,Universidade Estadual,parceria
17,Mato Grosso,Peixoto de Azevedo,administração,Aluguel de imóveis,27831.68,2024-05-25,Prefeitura,contrato direto
18,Mato Grosso,Sorriso,educação,Transporte estudantil,194350.82,2026-01-05,Creche,contrato direto
19,Mato Grosso,Rondonópolis,saúde,Equipamentos hospitalares,447763.75,2025-02-04,SAMU,parceria
20,Mato Grosso,Juína,infraestrutura,Saneamento básico,301978.11,2025-10-09,Energia,parceria
21,Mato Grosso,Alta Floresta,educação,Salários de professores,118531.75,2024-08-15,Escola Municipal,contrato direto
22,Mato Grosso,Lucas do Rio Verde,segurança,Sistemas de vigilância,206503.7,2024-07-16,Polícia Civil,licitação
23,Mato Grosso,Cuiabá,educação,Transporte estudantil,93109.9,2024-06-14,Secretaria de Educação,parceria
24,Mato Grosso,Água Boa,infraestrutura,Iluminação pública,646489.89,2025-06-16,Departamento de Viação,convênio
25,Mato Grosso,Água Boa,educação,Material escolar,157863.51,2025-05-19,Creche,parceria
26,Mato Grosso,Peixoto de Azevedo,infraestrutura,Saneamento básico,683330.57,2024-12-28,Secretaria de Obras,licitação
27,Mato Grosso,Juína,administração,Consultoria,97309.0,2025-09-17,Secretaria de Administração,parceria
28,Mato Grosso,Várzea Grande,segurança,Sistemas de vigilância,553671.56,2025-06-22,Polícia Civil,convênio
29,Mato Grosso,Barra do Garças,saúde,Contratação de médicos,395722.99,2024-09-17,Secretaria de Saúde,convênio
30,Mato Grosso,Juína,saúde,Manutenção de hospitais,469537.14,2024-11-23,Posto de Saúde,licitação
31,Mato Grosso,Cáceres,educação,Material escolar,74315.83,2025-07-20,Universidade Estadual,licitação
32,Mato Grosso,Alta Floresta,infraestrutura,Iluminação pública,740004.77,2024-01-07,Energia,licitação
33,Mato Grosso,Tangará da Serra,administração,Consultoria,72498.91,2024-06-21,Contadoria,convênio
34,Mato Grosso,Guarantã do Norte,infraestrutura,Construção de pontes,351687.0,2025-09-18,Saneamento,convênio
35,Mato Grosso,Cáceres,saúde,Contratação de médicos,11542.61,2024-12-16,SAMU,parceria
36,Mato Grosso,Primavera do Leste,segurança,Viaturas policiais,257149.58,2024-04-05,Guarda Municipal,licitação
37,Mato Grosso,Várzea Grande,segurança,Sistemas de vigilância,700745.89,2025-05-13,Polícia Militar,convênio
38,Mato Grosso,Lucas do Rio Verde,administração,Consultoria,1594.12,2025-01-28,Prefeitura,parceria
39,Mato Grosso,Sorriso,saúde,Contratação de médicos,321378.28,2025-05-03,Hospital Municipal,parceria
40,Mato Grosso,Barra do Garças,educação,Salários de professores,36626.17,2024-02-06,Creche,licitação
41,Mato Grosso,Diamantino,segurança,Treinamento de agentes,387315.73,2025-06-23,Polícia Civil,convênio
42,Mato Grosso,Juína,administração,Aluguel de imóveis,64978.63,2024-02-26,Contadoria,contrato direto
43,Mato Grosso,Cuiabá,administração,Aluguel de imóveis,84599.75,2024-09-22,Contadoria,licitação
44,Mato Grosso,Guarantã do Norte,saúde,Compra de medicamentos,5124.1,2025-05-26,Hospital Municipal,contrato direto
45,Mato Grosso,Peixoto de Azevedo,saúde,Manutenção de hospitais,395131.04,2024-10-16,Posto de Saúde,contrato direto
46,Mato Grosso,Cuiabá,segurança,Treinamento de agentes,260468.88,2025-07-08,Guarda Municipal,convênio
47,Mato Grosso,Diamantino,infraestrutura,Iluminação pública,47887.28,2025-06-30,Saneamento,contrato direto
48,Mato Grosso,Nova Mutum,saúde,Manutenção de hospitais,369657.13,2025-04-26,Posto de Saúde,contrato direto
49,Mato Grosso,Sinop,saúde,Manutenção de hospitais,477052.57,2024-04-21,Posto de Saúde,contrato direto
50,Mato Grosso,Sorriso,saúde,Equipamentos hospitalares,399557.15,2025-04-02,Secretaria de Saúde,parceria
51,Mato Grosso,Primavera do Leste,saúde,Equipamentos hospitalares,211364.76,2025-06-18,Posto de Saúde,parceria
52,Mato Grosso,Cuiabá,infraestrutura,Iluminação pública,969502.5,2025-01-31,Departamento de Viação,parceria
53,Mato Grosso,Várzea Grande,segurança,Treinamento de agentes,362738.59,2025-06-01,Trânsito,contrato direto
54,Mato Grosso,Cuiabá,administração,Serviços de limpeza,91068.89,2024-02-24,Secretaria de Administração,contrato direto
55,Mato Grosso,Rondonópolis,infraestrutura,Iluminação pública,86877.19,2025-04-02,Saneamento,licitação
56,Mato Grosso,Colíder,administração,Consultoria,75334.5,2025-05-21,RH,convênio
57,Mato Grosso,Sorriso,infraestrutura,Iluminação pública,387968.76,2024-07-06,Saneamento,convênio
58,Mato Grosso,Pontes e Lacerda,segurança,Equipamentos de segurança,92280.22,2025-02-01,Polícia Civil,contrato direto
59,Mato Grosso,Cuiabá,administração,Material de escritório,8647.52,2024-09-14,Contadoria,contrato direto
60,Mato Grosso,Guarantã do Norte,educação,Salários de professores,52861.21,2025-08-22,Escola Municipal,convênio
61,Mato Grosso,Água Boa,saúde,Manutenção de hospitais,190951.57,2025-01-27,Hospital Municipal,parceria
62,Mato Grosso,Alta Floresta,saúde,Compra de medicamentos,27908.25,2024-08-16,Hospital Municipal,convênio
63,Mato Grosso,Peixoto de Azevedo,infraestrutura,Saneamento básico,553703.16,2025-06-10,Departamento de Viação,licitação
64,Mato Grosso,Rondonópolis,segurança,Viaturas policiais,22342.28,2025-03-27,Polícia Civil,convênio
65,Mato Grosso,Juína,infraestrutura,Saneamento básico,214326.08,2024-12-31,Saneamento,convênio
66,Mato Grosso,Sinop,administração,Material de escritório,75998.9,2024-01-30,Contadoria,convênio
67,Mato Grosso,Tangará da Serra,administração,Aluguel de imóveis,97794.79,2025-01-26,Prefeitura,parceria
68,Mato Grosso,Cáceres,saúde,Manutenção de hospitais,463268.34,2025-04-12,Posto de Saúde,licitação
69,Mato Grosso,Diamantino,segurança,Equipamentos de segurança,703411.68,2024-10-11,Polícia Militar,parceria
70,Mato Grosso,Nova Mutum,educação,Salários de professores,176654.27,2024-11-26,Creche,convênio
71,Mato Grosso,Pontes e Lacerda,administração,Material de escritório,55875.45,2024-11-18,Prefeitura,convênio
72,Mato Grosso,Campo Verde,saúde,Manutenção de hospitais,389466.62,2025-12-10,Posto de Saúde,convênio
73,Mato Grosso,Peixoto de Azevedo,saúde,Compra de medicamentos,393894.24,2025-05-28,Posto de Saúde,parceria
74,Mato Grosso,Tangará da Serra,saúde,Equipamentos hospitalares,424379.31,2024-09-22,Hospital Municipal,parceria
75,Mato Grosso,Lucas do Rio Verde,saúde,Manutenção de hospitais,98376.02,2024-12-27,Secretaria de Saúde,convênio
76,Mato Grosso,Barra do Garças,segurança,Equipamentos de segurança,155632.17,2025-07-01,Polícia Civil,contrato direto
77,Mato Grosso,Água Boa,segurança,Treinamento de agentes,95618.33,2024-06-06,Polícia Militar,contrato direto
78,Mato Grosso,Sinop,saúde,Equipamentos hospitalares,155826.26,2025-03-23,Posto de Saúde,parceria
79,Mato Grosso,Sinop,saúde,Compra de medicamentos,248673.41,2025-02-27,Posto de Saúde,parceria
80,Mato Grosso,Guarantã do Norte,saúde,Contratação de médicos,306937.93,2024-08-22,Secretaria de Saúde,parceria
81,Mato Grosso,Campo Verde,saúde,Contratação de médicos,213079.23,2025-08-09,Posto de Saúde,parceria
82,Mato Grosso,Alta Floresta,segurança,Equipamentos de segurança,424448.92,2025-08-18,Guarda Municipal,parceria
83,Mato Grosso,Nova Mutum,segurança,Treinamento de agentes,507126.19,2024-03-29,Trânsito,contrato direto
84,Mato Grosso,Peixoto de Azevedo,segurança,Viaturas policiais,430933.0,2024-07-09,Trânsito,parceria
85,Mato Grosso,Cuiabá,infraestrutura,Asfalto de vias,697109.75,2025-10-12,Secretaria de Obras,contrato direto
86,Mato Grosso,Cáceres,segurança,Treinamento de agentes,126401.78,2025-10-25,Guarda Municipal,contrato direto
87,Mato Grosso,Lucas do Rio Verde,infraestrutura,Construção de pontes,33389.58,2025-06-26,Secretaria de Obras,convênio
88,Mato Grosso,Lucas do Rio Verde,administração,Aluguel de imóveis,62175.13,2024-06-16,Secretaria de Administração,parceria
89,Mato Grosso,Lucas do Rio Verde,infraestrutura,Iluminação pública,286078.92,2024-06-11,Secretaria de Obras,licitação
90,Mato Grosso,Primavera do Leste,infraestrutura,Asfalto de vias,781224.11,2024-03-15,Secretaria de Obras,licitação
91,Mato Grosso,Barra do Garças,segurança,Equipamentos de segurança,658200.44,2025-02-14,Trânsito,licitação
92,Mato Grosso,Tangará da Serra,educação,Transporte estudantil,122025.23,2024-04-15,Escola Municipal,convênio
93,Mato Grosso,Barra do Garças,segurança,Treinamento de agentes,154970.08,2025-08-24,Polícia Militar,convênio
94,Mato Grosso,Rondonópolis,infraestrutura,Asfalto de vias,228425.32,2025-07-03,Departamento de Viação,licitação
95,Mato Grosso,Sorriso,infraestrutura,Saneamento básico,831814.48,2024-03-17,Secretaria de Obras,parceria
96,Mato Grosso,Campo Verde,infraestrutura,Iluminação pública,838518.48,2024-04-01,Saneamento,contrato direto
97,Mato Grosso,Peixoto de Azevedo,infraestrutura,Asfalto de vias,610114.56,2025-05-06,Saneamento,parceria
98,Mato Grosso,Várzea Grande,saúde,Equipamentos hospitalares,43012.31,2025-02-27,Posto de Saúde,licitação
99,Mato Grosso,Cáceres,saúde,Equipamentos hospitalares,73734.0,2024-08-26,Hospital Municipal,licitação
100,Mato Grosso,Diamantino,segurança,Treinamento de agentes,707848.06,2025-01-13,Polícia Civil,contrato direto
101,Mato Grosso,Rondonópolis,segurança,Treinamento de agentes,528381.78,2025-01-08,Trânsito,contrato direto
102,Mato Grosso,Barra do Garças,educação,Material escolar,57348.92,2025-12-21,Creche,convênio
103,Mato Grosso,Tangará da Serra,infraestrutura,Asfalto de vias,747071.35,2025-04-14,Secretaria de Obras,parceria
104,Mato Grosso,Peixoto de Azevedo,infraestrutura,Asfalto de vias,936946.63,2025-09-27,Saneamento,contrato direto
105,Mato Grosso,Sinop,infraestrutura,Iluminação pública,948006.11,2024-03-25,Departamento de Viação,licitação
106,Mato Grosso,Cáceres,saúde,Compra de medicamentos,21118.07,2024-10-22,Secretaria de Saúde,contrato direto
107,Mato Grosso,Colíder,infraestrutura,Construção de pontes,355490.38,2025-05-28,Saneamento,licitação
108,Mato Grosso,Juína,infraestrutura,Iluminação pública,470021.97,2024-01-15,Departamento de Viação,licitação
109,Mato Grosso,Diamantino,segurança,Sistemas de vigilância,22189.02,2024-11-26,Polícia Civil,parceria
110,Mato Grosso,Diamantino,saúde,Manutenção de hospitais,32836.31,2024-06-19,Hospital Municipal,contrato direto
